 TIME                    	LPT3pin                  	LPT2pin                  	LPT1pin                  	LPT3mout                 	LPT2mout                 	LPT1mout                 	
  +5.4375000000000000E+01	  +3.9087159497091933E-01	  +1.7198960653611957E+00	  +4.4910093156750479E+00	  +2.6346590712294099E+04	  +5.3618278796944083E+04	  +5.7695443806303250E+04	
  +5.4500000000000000E+01	  +3.9069844174588431E-01	  +1.7193599970486613E+00	  +4.4900337100625398E+00	  +2.6326604510685178E+04	  +5.3601558418986293E+04	  +5.7683846847728739E+04	
  +5.4625000000000000E+01	  +3.9060754109768003E-01	  +1.7193108329610360E+00	  +4.4897531525195893E+00	  +2.6315600235182894E+04	  +5.3601235979589001E+04	  +5.7679906581904950E+04	
  +5.4750000000000000E+01	  +3.9045279903483116E-01	  +1.7189623586477876E+00	  +4.4889835327511083E+00	  +2.6298151670873001E+04	  +5.3590459440670347E+04	  +5.7670329165315430E+04	
  +5.4875000000000000E+01	  +3.9047382513636214E-01	  +1.7188025132154776E+00	  +4.4883859342705579E+00	  +2.6300449956774719E+04	  +5.3586360543666677E+04	  +5.7662254029987722E+04	
  +5.5000000000000000E+01	  +3.9037516006806589E-01	  +1.7185396619631341E+00	  +4.4880263452918898E+00	  +2.6289664572606242E+04	  +5.3577562767583680E+04	  +5.7658355859540832E+04	
  +5.5125000000000000E+01	  +3.9034519241580340E-01	  +1.7182865783831649E+00	  +4.4879626925798162E+00	  +2.6286388379387350E+04	  +5.3569980005524725E+04	  +5.7658856427781189E+04	
  +5.5250000000000000E+01	  +3.9032945561263127E-01	  +1.7181855849379168E+00	  +4.4877565643704482E+00	  +2.6286341890242507E+04	  +5.3566883844807344E+04	  +5.7656335434632703E+04	
  +5.5375000000000000E+01	  +3.9040957499934181E-01	  +1.7182176695895286E+00	  +4.4882221681593064E+00	  +2.6298444213410359E+04	  +5.3568056087883509E+04	  +5.7663159735341920E+04	
  +5.5500000000000000E+01	  +3.9052592284589516E-01	  +1.7181587004576166E+00	  +4.4880100506936378E+00	  +2.6314497858946790E+04	  +5.3565519192693348E+04	  +5.7660306376871515E+04	
  +5.5625000000000000E+01	  +3.9067098917328480E-01	  +1.7184169151481894E+00	  +4.4883217409953353E+00	  +2.6333678890952215E+04	  +5.3573138478025867E+04	  +5.7663510381064676E+04	
