 TIME                    	HPT2pin                  	HPT1pin                  	HPT2mout                 	HPT1mout                 	
  +7.8250000000000000E+01	  +1.4732674701856153E+01	  +6.7289254729679882E+01	  +6.0012303483663338E+04	  +6.5675659383448598E+04	
  +7.8375000000000000E+01	  +1.4734101632674220E+01	  +6.7312434194550519E+01	  +6.0020149795938480E+04	  +6.5699101733905729E+04	
  +7.8500000000000000E+01	  +1.4735451662778598E+01	  +6.7299585185827112E+01	  +6.0027071121303969E+04	  +6.5685626484305336E+04	
  +7.8625000000000000E+01	  +1.4740552389103197E+01	  +6.7300233992027827E+01	  +6.0049615817974067E+04	  +6.5685146496399349E+04	
  +7.8750000000000000E+01	  +1.4737505626324946E+01	  +6.7307888545120747E+01	  +6.0035601260771720E+04	  +6.5693677759700600E+04	
  +7.8875000000000000E+01	  +1.4737218832019970E+01	  +6.7307833100098634E+01	  +6.0032401878969300E+04	  +6.5693685294559822E+04	
  +7.9000000000000000E+01	  +1.4739152355768741E+01	  +6.7312910577537167E+01	  +6.0042394867387535E+04	  +6.5698456538045662E+04	
  +7.9125000000000000E+01	  +1.4739159612570116E+01	  +6.7319252776455031E+01	  +6.0042424492726321E+04	  +6.5704956712692423E+04	
  +7.9250000000000000E+01	  +1.4740099091900655E+01	  +6.7321814752669894E+01	  +6.0045881631646371E+04	  +6.5707372285553385E+04	
  +7.9375000000000000E+01	  +1.4771226709816217E+01	  +6.7472232010826005E+01	  +6.0174493054890103E+04	  +6.5854441633772294E+04	
  +7.9500000000000000E+01	  +1.4771261181031605E+01	  +6.7472096990211739E+01	  +6.0174493054890103E+04	  +6.5854441633772294E+04	
  +7.9625000000000000E+01	  +1.4805221512272789E+01	  +6.7637224548126596E+01	  +6.0315332195470604E+04	  +6.6015916348352330E+04	
  +7.9750000000000000E+01	  +1.4805714802888613E+01	  +6.7637151714267603E+01	  +6.0315332195470604E+04	  +6.6015916348352330E+04	
  +7.9875000000000000E+01	  +1.4805041287906528E+01	  +6.7676610786052393E+01	  +6.0315332195470604E+04	  +6.6056518363518611E+04	
  +8.0000000000000000E+01	  +1.4816451909767350E+01	  +6.7711927645613500E+01	  +6.0366327814094315E+04	  +6.6090163366064691E+04	
  +8.0125000000000000E+01	  +1.4821910356091385E+01	  +6.7745942209807765E+01	  +6.0391027682615204E+04	  +6.6123808368610771E+04	
  +8.0250000000000000E+01	  +1.4829114576127134E+01	  +6.7789942748825013E+01	  +6.0418519238257097E+04	  +6.6167298626399759E+04	
  +8.0375000000000000E+01	  +1.4837930330155366E+01	  +6.7851449689535301E+01	  +6.0455674247896721E+04	  +6.6228373407331193E+04	
  +8.0500000000000000E+01	  +1.4838648214302227E+01	  +6.7908419364531767E+01	  +6.0455674247896721E+04	  +6.6286611081813084E+04	
  +8.0625000000000000E+01	  +1.4890853901658907E+01	  +6.8038443203861760E+01	  +6.0666979249414740E+04	  +6.6408640641311562E+04	
  +8.0750000000000000E+01	  +1.4891321222265656E+01	  +6.7970379283209368E+01	  +6.0666979249414740E+04	  +6.6338313633198821E+04	
  +8.0875000000000000E+01	  +1.4878549750911571E+01	  +6.7967582381963453E+01	  +6.0611753506743917E+04	  +6.6338313633198821E+04	
  +8.1000000000000000E+01	  +1.4878572616615035E+01	  +6.7998620329534788E+01	  +6.0611753506743917E+04	  +6.6370126821492595E+04	
  +8.1125000000000000E+01	  +1.4878566886343998E+01	  +6.8049195788471096E+01	  +6.0616875901135900E+04	  +6.6421973594990792E+04	
  +8.1250000000000000E+01	  +1.4916801121063440E+01	  +6.8165101685414513E+01	  +6.0772003575530442E+04	  +6.6532211224532890E+04	
  +8.1375000000000000E+01	  +1.4917427266343354E+01	  +6.8165232999133764E+01	  +6.0772003575530442E+04	  +6.6532211224532890E+04	
  +8.1500000000000000E+01	  +1.4916773122842335E+01	  +6.8189433470354444E+01	  +6.0772003575530442E+04	  +6.6557166545702188E+04	
