 TIME                    	HPT_powerMW              	LPT_powerMW              	P1_powerMW               	P2_powerMW               	P3_powerMW               	Wnet_MW                  	Wgross_MW                	eta_net                  	eta_gross                	eta_CHP                  	m_fuel_h                 	
  +1.4887500000000000E+02	  +1.6603190249676899E+01	  +1.0180348122907409E+01	  +1.3977722126778895E-04	  +1.2844002699705800E-02	  +2.6844408368214251E-01	  +2.3851899458083075E+01	  +2.6783538372584310E+01	  +2.7209940140583239E-01	  +3.0554316110202306E-01	  +7.8932015891175911E-01	  +2.6065216825947558E+04	
  +1.4900000000000000E+02	  +1.6602577666972685E+01	  +1.0180768549551665E+01	  +1.3996991934653598E-04	  +1.2845724119847328E-02	  +2.6841927610753219E-01	  +2.3851747121739862E+01	  +2.6783346216524350E+01	  +2.7208485726084031E-01	  +3.0552658868534582E-01	  +7.8939979607308086E-01	  +2.6066443646475003E+04	
  +1.4912500000000000E+02	  +1.6600481052432496E+01	  +1.0175699111123047E+01	  +1.4013941097890502E-04	  +1.2847478809596032E-02	  +2.6838017792740909E-01	  +2.3845331130666803E+01	  +2.6776180163555541E+01	  +2.7204483199501239E-01	  +3.0548208343789746E-01	  +7.8959460081000765E-01	  +2.6063265972098423E+04	
  +1.4925000000000000E+02	  +1.6599946845303201E+01	  +1.0171803825743105E+01	  +1.3954728135347465E-04	  +1.2833423140380863E-02	  +2.6831007343721130E-01	  +2.3841420864468628E+01	  +2.6771750671046309E+01	  +2.7204042976837800E-01	  +3.0547669954760565E-01	  +7.8938818450669657E-01	  +2.6059413691985759E+04	
  +1.4937500000000000E+02	  +1.6597015800442893E+01	  +1.0171330809739342E+01	  +1.3954728135347465E-04	  +1.2839090866183492E-02	  +2.6836333940003365E-01	  +2.3838304169371202E+01	  +2.6768346610182238E+01	  +2.7204205278006410E-01	  +3.0547961422183378E-01	  +7.8972727392540021E-01	  +2.6055851596436336E+04	
  +1.4950000000000000E+02	  +1.6601968528021256E+01	  +1.0170617527797452E+01	  +1.3861590377808389E-04	  +1.2829904278064467E-02	  +2.6828765550138489E-01	  +2.3842196892121933E+01	  +2.6772586055818710E+01	  +2.7198618349702736E-01	  +3.0541537495959298E-01	  +7.8921637166620051E-01	  +2.6065459502010151E+04	
  +1.4962500000000000E+02	  +1.6599660796830474E+01	  +1.0169843928281825E+01	  +1.3861590377808389E-04	  +1.2832731542711223E-02	  +2.6847764104561378E-01	  +2.3839250162958177E+01	  +2.6769504725112299E+01	  +2.7198713689407911E-01	  +3.0541904197847192E-01	  +7.8941614997674348E-01	  +2.6062146637087197E+04	
  +1.4975000000000000E+02	  +1.6607350708318364E+01	  +1.0173401728788942E+01	  +1.3800728584058945E-04	  +1.2830901697327432E-02	  +2.6842867952571758E-01	  +2.3849419363738576E+01	  +2.6780752437107303E+01	  +2.7200795483588625E-01	  +3.0544046327850816E-01	  +7.8919571543002576E-01	  +2.6071268568041058E+04	
  +1.4987500000000000E+02	  +1.6606407455612977E+01	  +1.0174944784620575E+01	  +1.3798395306819825E-04	  +1.2827914096118167E-02	  +2.6855049870899256E-01	  +2.3849852259127839E+01	  +2.6781352240233556E+01	  +2.7202215506336291E-01	  +3.0545770568080499E-01	  +7.8925642415692843E-01	  +2.6070380783410430E+04	
  +1.5000000000000000E+02	  +1.6608007200064836E+01	  +1.0172847250741357E+01	  +1.3802801427763398E-04	  +1.2828811534086465E-02	  +2.6853525796979250E-01	  +2.3849417117959231E+01	  +2.6780854450806192E+01	  +2.7200375685561906E-01	  +3.0543694155683992E-01	  +7.8917189239441399E-01	  +2.6071668484912836E+04	
