 TIME                    	Pump1flow                	PumpDeaLPflow            	PumpDeaHPflow            	
  +1.1787500000000000E+02	  +3.4243843236022432E+04	  +8.7294884004695166E+04	  +1.0320909517562759E+05	
  +1.1800000000000000E+02	  +3.4255821391362697E+04	  +8.7259092749570627E+04	  +1.0330144092107998E+05	
  +1.1812500000000000E+02	  +3.4445375234001629E+04	  +8.7523120141303458E+04	  +1.0337501734433560E+05	
  +1.1825000000000000E+02	  +3.4382767420616023E+04	  +8.7511174951948764E+04	  +1.0334801891471414E+05	
  +1.1837500000000000E+02	  +3.4382767420616023E+04	  +8.7414433883641410E+04	  +1.0344777583124716E+05	
  +1.1850000000000000E+02	  +3.4414713788099412E+04	  +8.7397635158357953E+04	  +1.0352156107970081E+05	
  +1.1862500000000000E+02	  +3.4472646397380879E+04	  +8.7427693513183331E+04	  +1.0357602032933677E+05	
  +1.1875000000000000E+02	  +3.4665215854488815E+04	  +8.7752190851552499E+04	  +1.0361150370140496E+05	
  +1.1887500000000000E+02	  +3.4647510715553195E+04	  +8.7749849066558323E+04	  +1.0356559272464763E+05	
  +1.1900000000000000E+02	  +3.4615960660966884E+04	  +8.7705601096610480E+04	  +1.0363012222296759E+05	
  +1.1912500000000000E+02	  +3.4640808387243989E+04	  +8.7687082972354823E+04	  +1.0369274112785915E+05	
  +1.1925000000000000E+02	  +3.4558396403487430E+04	  +8.7664588625151606E+04	  +1.0372257437846507E+05	
  +1.1937500000000000E+02	  +3.4558396403487430E+04	  +8.7702982939155729E+04	  +1.0380467650249196E+05	
  +1.1950000000000000E+02	  +3.4524041718417480E+04	  +8.7729363821995954E+04	  +1.0383925460775680E+05	
  +1.1962500000000000E+02	  +3.4456844274617637E+04	  +8.7706181279799159E+04	  +1.0389111109309067E+05	
  +1.1975000000000000E+02	  +3.4666671978690101E+04	  +8.7929162369771278E+04	  +1.0397593130226879E+05	
  +1.1987500000000000E+02	  +3.4641987694451454E+04	  +8.7927494288328409E+04	  +1.0391761290637864E+05	
  +1.2000000000000000E+02	  +3.4616501367440535E+04	  +8.7884978502043319E+04	  +1.0397689238786319E+05	
  +1.2012500000000000E+02	  +3.4637446941506008E+04	  +8.7827296037356937E+04	  +1.0402966042528267E+05	
  +1.2025000000000000E+02	  +3.4667872872166532E+04	  +8.7799057131663474E+04	  +1.0407221011930513E+05	
  +1.2037500000000000E+02	  +3.4755189481577625E+04	  +8.7873146066186848E+04	  +1.0411784443250688E+05	
  +1.2050000000000000E+02	  +3.4849217097806315E+04	  +8.7926772105576834E+04	  +1.0412521579612186E+05	
  +1.2062500000000000E+02	  +3.4896671826075435E+04	  +8.7899463218535937E+04	  +1.0412889383903805E+05	
  +1.2075000000000000E+02	  +3.4896671826075435E+04	  +8.7963670806318565E+04	  +1.0414627281126035E+05	
  +1.2087500000000000E+02	  +3.4942407233283760E+04	  +8.7969177122039371E+04	  +1.0418160527786789E+05	
  +1.2100000000000000E+02	  +3.4980806153280289E+04	  +8.8012836952972386E+04	  +1.0418502295069817E+05	
  +1.2112500000000000E+02	  +3.5118592033720044E+04	  +8.8099702304612525E+04	  +1.0419418204065636E+05	
  +1.2125000000000000E+02	  +3.5260450618595838E+04	  +8.8132268289553991E+04	  +1.0414693843717434E+05	
  +1.2137500000000000E+02	  +3.5410446400767774E+04	  +8.8122842366942990E+04	  +1.0409310171648016E+05	
  +1.2150000000000000E+02	  +3.5636129387056542E+04	  +8.8143983644252628E+04	  +1.0402357184047654E+05	
  +1.2162500000000000E+02	  +3.5466122974925245E+04	  +8.7867658105898954E+04	  +1.0390304495445557E+05	
  +1.2175000000000000E+02	  +3.5466122974925245E+04	  +8.7853021666495843E+04	  +1.0397992072217015E+05	
  +1.2187500000000000E+02	  +3.5549079097080721E+04	  +8.7944971467662195E+04	  +1.0397922010795667E+05	
