 TIME                    	pcond_low                	hcond_low                	hsteam_low               	
  +6.0000000000000000E+01	  +2.4256658179929244E-01	  +2.6756380014740120E+02	  +2.3893170748670300E+03	
  +6.0125000000000000E+01	  +2.4276363803141982E-01	  +2.6763838588721927E+02	  +2.3891511851501191E+03	
  +6.0250000000000000E+01	  +2.4315961446835360E-01	  +2.6778826288009799E+02	  +2.3887766341296665E+03	
  +6.0375000000000000E+01	  +2.4355808360987691E-01	  +2.6793908336110678E+02	  +2.3907564908285763E+03	
  +6.0500000000000000E+01	  +2.4395905439625240E-01	  +2.6809085071413290E+02	  +2.3904101126583787E+03	
  +6.0625000000000000E+01	  +2.4416048071609428E-01	  +2.6816709053117427E+02	  +2.3914496743631480E+03	
  +6.0750000000000000E+01	  +2.4416048071609428E-01	  +2.6816709053117427E+02	  +2.3914247992890860E+03	
  +6.0875000000000000E+01	  +2.4416048071609428E-01	  +2.6816709053117427E+02	  +2.3914121152585485E+03	
  +6.1000000000000000E+01	  +2.4416048071609428E-01	  +2.6816709053117427E+02	  +2.3909649856868496E+03	
  +6.1125000000000000E+01	  +2.4424107660026670E-01	  +2.6819759605532033E+02	  +2.3902599059889408E+03	
  +6.1250000000000000E+01	  +2.4440256935195670E-01	  +2.6825872102574135E+02	  +2.3901561532113069E+03	
  +6.1375000000000000E+01	  +2.4456446389655090E-01	  +2.6831999807468685E+02	  +2.3901232549672400E+03	
  +6.1500000000000000E+01	  +2.4472676081349576E-01	  +2.6838142742147704E+02	  +2.3917388065487739E+03	
  +6.1625000000000000E+01	  +2.4480806034308747E-01	  +2.6841219927525708E+02	  +2.3913799885925373E+03	
  +6.1750000000000000E+01	  +2.4480806034308747E-01	  +2.6841219927525708E+02	  +2.3913799885925373E+03	
  +6.1875000000000000E+01	  +2.4480806034308747E-01	  +2.6841219927525708E+02	  +2.3913515365515145E+03	
  +6.2000000000000000E+01	  +2.4480806034308747E-01	  +2.6841219927525708E+02	  +2.3916631445291114E+03	
  +6.2125000000000000E+01	  +2.4479609964902743E-01	  +2.6840767215522857E+02	  +2.3916631445291114E+03	
  +6.2250000000000000E+01	  +2.4477218479891652E-01	  +2.6839862038980658E+02	  +2.3916515327672478E+03	
  +6.2375000000000000E+01	  +2.4474827866460871E-01	  +2.6838957192331412E+02	  +2.3915488987316203E+03	
  +6.2500000000000000E+01	  +2.4472438124425386E-01	  +2.6838052675505082E+02	  +2.3911515015358395E+03	
  +6.2625000000000000E+01	  +2.4471243580123075E-01	  +2.6837600540753641E+02	  +2.3917695521518494E+03	
  +6.2750000000000000E+01	  +2.4471243580123075E-01	  +2.6837600540753641E+02	  +2.3922059803827865E+03	
  +6.2875000000000000E+01	  +2.4471243580123075E-01	  +2.6837600540753641E+02	  +2.3922059803827865E+03	
  +6.3000000000000000E+01	  +2.4471243580123075E-01	  +2.6837600540753641E+02	  +2.3916998826137947E+03	
  +6.3125000000000000E+01	  +2.4473063831997935E-01	  +2.6838289505681450E+02	  +2.3918683169779629E+03	
  +6.3250000000000000E+01	  +2.4476705852968517E-01	  +2.6839668009804825E+02	  +2.3926859813759770E+03	
  +6.3375000000000000E+01	  +2.4480349897445722E-01	  +2.6841047279825000E+02	  +2.3924181686969923E+03	
  +6.3500000000000000E+01	  +2.4483995966084382E-01	  +2.6842427315989835E+02	  +2.3925032007321165E+03	
  +6.3625000000000000E+01	  +2.4485819759669011E-01	  +2.6843117621454007E+02	  +2.3918354156443520E+03	
  +6.3750000000000000E+01	  +2.4485819759669011E-01	  +2.6843117621454007E+02	  +2.3921341312656191E+03	
  +6.3875000000000000E+01	  +2.4485819759669011E-01	  +2.6843117621454007E+02	  +2.3921341312656191E+03	
  +6.4000000000000000E+01	  +2.4485819759669011E-01	  +2.6843117621454007E+02	  +2.3921513990928956E+03	
  +6.4125000000000000E+01	  +2.4479488900356206E-01	  +2.6840721392619054E+02	  +2.3927115278819092E+03	
  +6.4250000000000000E+01	  +2.4466845482272390E-01	  +2.6835935861700131E+02	  +2.3930357068359262E+03	
  +6.4375000000000000E+01	  +2.4454226442086863E-01	  +2.6831159557810264E+02	  +2.3926462373583499E+03	
  +6.4500000000000000E+01	  +2.4441631752459003E-01	  +2.6826392470601036E+02	  +2.3926592686985764E+03	
  +6.4625000000000000E+01	  +2.4435343530575288E-01	  +2.6824012380023470E+02	  +2.3921869015722750E+03	
  +6.4750000000000000E+01	  +2.4435343530575288E-01	  +2.6824012380023470E+02	  +2.3921869015722750E+03	
  +6.4875000000000000E+01	  +2.4435343530575288E-01	  +2.6824012380023470E+02	  +2.3923026882381819E+03	
  +6.5000000000000000E+01	  +2.4435343530575288E-01	  +2.6824012380023470E+02	  +2.3919738395324962E+03	
  +6.5125000000000000E+01	  +2.4435157633109428E-01	  +2.6823942017874185E+02	  +2.3918082931923764E+03	
  +6.5250000000000000E+01	  +2.4434785854127455E-01	  +2.6823801299612603E+02	  +2.3917178399740196E+03	
  +6.5375000000000000E+01	  +2.4434414096411242E-01	  +2.6823660589400100E+02	  +2.3915778353956653E+03	
  +6.5500000000000000E+01	  +2.4434042359960065E-01	  +2.6823519887236415E+02	  +2.3915778353956653E+03	
  +6.5625000000000000E+01	  +2.4433856499708639E-01	  +2.6823449539172793E+02	  +2.3915493038387503E+03	
  +6.5750000000000000E+01	  +2.4433856499708639E-01	  +2.6823449539172793E+02	  +2.3916047582746942E+03	
  +6.5875000000000000E+01	  +2.4433856499708639E-01	  +2.6823449539172793E+02	  +2.3917567977440622E+03	
  +6.6000000000000000E+01	  +2.4433856499708639E-01	  +2.6823449539172793E+02	  +2.3917008874278163E+03	
  +6.6125000000000000E+01	  +2.4437731983240416E-01	  +2.6824916408823407E+02	  +2.3917710168104827E+03	
  +6.6250000000000000E+01	  +2.4445489883574162E-01	  +2.6827852772365839E+02	  +2.3914829427205427E+03	
  +6.6375000000000000E+01	  +2.4453257033593162E-01	  +2.6830792636912065E+02	  +2.3914953823116093E+03	
  +6.6500000000000000E+01	  +2.4461033439694257E-01	  +2.6833736004883298E+02	  +2.3914155109487610E+03	
  +6.6625000000000000E+01	  +2.4464925115776795E-01	  +2.6835209003410750E+02	  +2.3914155109487610E+03	
  +6.6750000000000000E+01	  +2.4464925115776795E-01	  +2.6835209003410750E+02	  +2.3915107439461435E+03	
  +6.6875000000000000E+01	  +2.4464925115776795E-01	  +2.6835209003410750E+02	  +2.3917746412901079E+03	
  +6.7000000000000000E+01	  +2.4464925115776795E-01	  +2.6835209003410750E+02	  +2.3919023180884597E+03	
  +6.7125000000000000E+01	  +2.4466986051619255E-01	  +2.6835989067166503E+02	  +2.3920066141854859E+03	
  +6.7250000000000000E+01	  +2.4471109870930094E-01	  +2.6837549931853988E+02	  +2.3923342738645661E+03	
  +6.7375000000000000E+01	  +2.4475236287868649E-01	  +2.6839111779742979E+02	  +2.3923342738645661E+03	
  +6.7500000000000000E+01	  +2.4479365303387307E-01	  +2.6840674611193953E+02	  +2.3925210576194527E+03	
  +6.7625000000000000E+01	  +2.4481430785911948E-01	  +2.6841456395867891E+02	  +2.3925210576194527E+03	
  +6.7750000000000000E+01	  +2.4481430785911948E-01	  +2.6841456395867891E+02	  +2.3923545839067556E+03	
  +6.7875000000000000E+01	  +2.4481430785911948E-01	  +2.6841456395867891E+02	  +2.3924029403703835E+03	
  +6.8000000000000000E+01	  +2.4481430785911948E-01	  +2.6841456395867891E+02	  +2.3923563267920099E+03	
  +6.8125000000000000E+01	  +2.4480021727796558E-01	  +2.6840923067686140E+02	  +2.3926045326025105E+03	
  +6.8250000000000000E+01	  +2.4477204518832846E-01	  +2.6839856754723024E+02	  +2.3928276497996144E+03	
  +6.8375000000000000E+01	  +2.4474388519306384E-01	  +2.6838790899531631E+02	  +2.3927876585611107E+03	
  +6.8500000000000000E+01	  +2.4471573728914742E-01	  +2.6837725501997500E+02	  +2.3930935087116645E+03	
  +6.8625000000000000E+01	  +2.4470166787049988E-01	  +2.6837192974816145E+02	  +2.3926253275376539E+03	
  +6.8750000000000000E+01	  +2.4470166787049988E-01	  +2.6837192974816145E+02	  +2.3926253275376539E+03	
  +6.8875000000000000E+01	  +2.4470166787049988E-01	  +2.6837192974816145E+02	  +2.3925509230186967E+03	
  +6.9000000000000000E+01	  +2.4470166787049988E-01	  +2.6837192974816145E+02	  +2.3925653600435512E+03	
  +6.9125000000000000E+01	  +2.4455665977065755E-01	  +2.6831704421478042E+02	  +2.3927740381285462E+03	
  +6.9250000000000000E+01	  +2.4426760721172738E-01	  +2.6820763788582860E+02	  +2.3930320949376874E+03	
  +6.9375000000000000E+01	  +2.4397983675451343E-01	  +2.6809871683208985E+02	  +2.3928399104904147E+03	
  +6.9500000000000000E+01	  +2.4369334510924553E-01	  +2.6799027980838684E+02	  +2.3930013503247255E+03	
  +6.9625000000000000E+01	  +2.4355057781720865E-01	  +2.6793624242025936E+02	  +2.3925676827711322E+03	
  +6.9750000000000000E+01	  +2.4355057781720865E-01	  +2.6793624242025936E+02	  +2.3905836986121813E+03	
  +6.9875000000000000E+01	  +2.4355057781720865E-01	  +2.6793624242025936E+02	  +2.3906234169845538E+03	
  +7.0000000000000000E+01	  +2.4355057781720865E-01	  +2.6793624242025936E+02	  +2.3906729470546393E+03	
  +7.0125000000000000E+01	  +2.4370535803813898E-01	  +2.6799482669928807E+02	  +2.3908630705636065E+03	
  +7.0250000000000000E+01	  +2.4401604332864602E-01	  +2.6811242101230687E+02	  +2.3908238524729550E+03	
  +7.0375000000000000E+01	  +2.4432823189709646E-01	  +2.6823058431569120E+02	  +2.3910494069558140E+03	
  +7.0500000000000000E+01	  +2.4464192793762607E-01	  +2.6834931819692054E+02	  +2.3914359386387782E+03	
  +7.0625000000000000E+01	  +2.4479934257636449E-01	  +2.6840889960250087E+02	  +2.3914819434297242E+03	
  +7.0750000000000000E+01	  +2.4479934257636449E-01	  +2.6840889960250087E+02	  +2.3931330603013084E+03	
  +7.0875000000000000E+01	  +2.4479934257636449E-01	  +2.6840889960250087E+02	  +2.3931330603013084E+03	
  +7.1000000000000000E+01	  +2.4479934257636449E-01	  +2.6840889960250087E+02	  +2.3930988700866460E+03	
  +7.1125000000000000E+01	  +2.4482779374683544E-01	  +2.6841966836416532E+02	  +2.3928022802442001E+03	
  +7.1250000000000000E+01	  +2.4488473308381306E-01	  +2.6844121989048540E+02	  +2.3925594652973941E+03	
  +7.1375000000000000E+01	  +2.4494172176961510E-01	  +2.6846279009532452E+02	  +2.3927507122486486E+03	
  +7.1500000000000000E+01	  +2.4499875982919411E-01	  +2.6848437898812711E+02	  +2.3927507122486486E+03	
  +7.1625000000000000E+01	  +2.4502729738195328E-01	  +2.6849518044546835E+02	  +2.3922797581642735E+03	
  +7.1750000000000000E+01	  +2.4502729738195328E-01	  +2.6849518044546835E+02	  +2.3922797581642735E+03	
  +7.1875000000000000E+01	  +2.4502729738195328E-01	  +2.6849518044546835E+02	  +2.3922216635174536E+03	
