 TIME                    	DeaLPmout                	ColdPHm_c_out            	DeaHPmout                	HotPHm_c_out             	DeaLPTout                	ColdPhT_c_out            	DeaHPTout                	HotPhT_c_out             	
  +9.1250000000000000E+00	  +6.4976546907349759E+04	  +6.4976406174067743E+04	  +7.5983105590586245E+04	  +7.6007805534496467E+04	  +6.7506839297914610E+01	  +1.1625059600122329E+02	  +1.5006245299481529E+02	  +1.9865909696743429E+02	
  +9.2500000000000000E+00	  +6.5485481536095955E+04	  +6.5487004307644987E+04	  +7.6598216340285580E+04	  +7.6631831094535373E+04	  +6.7640372327714900E+01	  +1.1647198645135829E+02	  +1.5037070433708345E+02	  +1.9895288941273691E+02	
  +9.3750000000000000E+00	  +6.6138202874688999E+04	  +6.6074176176475288E+04	  +7.7309314094628615E+04	  +7.7373302483942505E+04	  +6.7869802999106383E+01	  +1.1673626649855366E+02	  +1.5074049215787798E+02	  +1.9930301036726772E+02	
  +9.5000000000000000E+00	  +6.6590118618866982E+04	  +6.6590054309314612E+04	  +7.7929461859424016E+04	  +7.7969570513702231E+04	  +6.8059598910471223E+01	  +1.1695821040365220E+02	  +1.5104027636021075E+02	  +1.9959321285501795E+02	
  +9.6250000000000000E+00	  +6.7229241588231249E+04	  +6.7228535401422778E+04	  +7.8699422890536182E+04	  +7.8758098790870004E+04	  +6.8391477034136699E+01	  +1.1724966980366001E+02	  +1.5143216262219829E+02	  +1.9996447157444769E+02	
  +9.7500000000000000E+00	  +6.7641852892121606E+04	  +6.7581016492390816E+04	  +7.9133536044539302E+04	  +7.9244074574367609E+04	  +6.8706244814199124E+01	  +1.1744050867417612E+02	  +1.5168376991578509E+02	  +2.0020700325086341E+02	
  +9.8750000000000000E+00	  +6.7999109386086086E+04	  +6.7953117674487614E+04	  +7.9577904160587670E+04	  +7.9659060516580503E+04	  +6.8962947155048013E+01	  +1.1760290269012347E+02	  +1.5188851054638758E+02	  +2.0040844432227709E+02	
  +1.0000000000000000E+01	  +6.8359860601255452E+04	  +6.8307608533070728E+04	  +8.0004266959639601E+04	  +8.0084593692025403E+04	  +6.9184647431162645E+01	  +1.1776834831265683E+02	  +1.5207304898995750E+02	  +2.0060841280623714E+02	
  +1.0125000000000000E+01	  +6.8660083817991661E+04	  +6.8661345223955810E+04	  +8.0427906646101357E+04	  +8.0494160907331476E+04	  +6.9406762386796245E+01	  +1.1790785191118705E+02	  +1.5223368179351158E+02	  +2.0079997803705351E+02	
  +1.0250000000000000E+01	  +6.9126081578748111E+04	  +6.9160965457371174E+04	  +8.1001943261479217E+04	  +8.0875502658882309E+04	  +6.9812984365512875E+01	  +1.1810658560185058E+02	  +1.5240763659033345E+02	  +2.0097625475881520E+02	
