 TIME                    	pinLPT3_condhigh         	pcond_high_bar           	h_condhigh               	h_steamhigh              	
  +9.1250000000000000E+01	  +4.2891436652178827E-01	  +4.0915482711636486E-01	  +3.2449886009072594E+02	  +2.4611190700783104E+03	
  +9.1375000000000000E+01	  +4.3008132504307678E-01	  +4.0909441593455709E-01	  +3.2454394666313794E+02	  +2.4611190700783104E+03	
  +9.1500000000000000E+01	  +4.2978917652358040E-01	  +4.0903401227925790E-01	  +3.2447701547766695E+02	  +2.4618487547994978E+03	
  +9.1625000000000000E+01	  +4.3065880409065987E-01	  +4.0900381327383317E-01	  +3.2450495894658127E+02	  +2.4611065665915194E+03	
  +9.1750000000000000E+01	  +4.2903020551927057E-01	  +4.0900381327383317E-01	  +3.2430313532539355E+02	  +2.4619812905183735E+03	
  +9.1875000000000000E+01	  +4.2908365384364633E-01	  +4.0900381327383317E-01	  +3.2431538032912675E+02	  +2.4619812905183735E+03	
  +9.2000000000000000E+01	  +4.2838493344507561E-01	  +4.0900381327383317E-01	  +3.2435552443007271E+02	  +2.4616497685415065E+03	
  +9.2125000000000000E+01	  +4.3157481604358094E-01	  +4.0799849483269646E-01	  +3.2488610524510227E+02	  +2.4608962250168729E+03	
  +9.2250000000000000E+01	  +4.3613592482638441E-01	  +4.0599411342170755E-01	  +3.2568745023535513E+02	  +2.4639634425360182E+03	
  +9.2375000000000000E+01	  +4.4054807752341729E-01	  +4.0399805138145478E-01	  +3.2669344139584524E+02	  +2.4658627842101728E+03	
  +9.2500000000000000E+01	  +4.4498099939421315E-01	  +4.0201028324384724E-01	  +3.2771059262137760E+02	  +2.4677451135560223E+03	
  +9.2625000000000000E+01	  +4.4622243773793635E-01	  +4.0101950144259424E-01	  +3.2800893663159036E+02	  +2.4687236861283081E+03	
  +9.2750000000000000E+01	  +4.4447980626407474E-01	  +4.0101950144259424E-01	  +3.2784263672243827E+02	  +2.4695154617505464E+03	
  +9.2875000000000000E+01	  +4.4514044573782113E-01	  +4.0101950144259424E-01	  +3.2787147224511023E+02	  +2.4680684738357536E+03	
  +9.3000000000000000E+01	  +4.4364321747880842E-01	  +4.0101950144259424E-01	  +3.2744203319450685E+02	  +2.4680546836905091E+03	
  +9.3125000000000000E+01	  +4.5492633822662415E-01	  +4.0163023402584586E-01	  +3.3041999571453329E+02	  +2.4718135317711590E+03	
  +9.3250000000000000E+01	  +4.7273449691834091E-01	  +4.0285405674596075E-01	  +3.3443628810159612E+02	  +2.4794215468870261E+03	
