 TIME                    	m_steamhigh_sec          	m_steamlow_sec           	Qdh                      	
  +1.0262500000000000E+02	  +5.7012823349657458E+00	  +6.7986629291493239E+00	  +2.8924820647498709E+04	
  +1.0275000000000000E+02	  +5.7046111333997027E+00	  +6.8509841828411613E+00	  +2.8924820647498709E+04	
  +1.0287500000000000E+02	  +5.7094477497920444E+00	  +6.8946801859547104E+00	  +2.8924820647498709E+04	
  +1.0300000000000000E+02	  +5.7087897946391726E+00	  +6.9169911090252736E+00	  +2.8924820647498709E+04	
  +1.0312500000000000E+02	  +5.7837114448834814E+00	  +6.8854345900446461E+00	  +2.9100668101084928E+04	
  +1.0325000000000000E+02	  +5.9236789459648778E+00	  +6.7807341942711741E+00	  +2.9453373397289783E+04	
  +1.0337500000000000E+02	  +6.0692835016761313E+00	  +6.7463222674352057E+00	  +2.9807425878871170E+04	
  +1.0350000000000000E+02	  +6.2146337255669533E+00	  +6.6878353140012123E+00	  +3.0162825545829102E+04	
  +1.0362500000000000E+02	  +6.2882377466699371E+00	  +6.7103467881201810E+00	  +3.0341030573824268E+04	
  +1.0375000000000000E+02	  +6.2934762305833285E+00	  +6.7707120208612350E+00	  +3.0341030573824268E+04	
  +1.0387500000000000E+02	  +6.2959760875539157E+00	  +6.8176588183877769E+00	  +3.0341030573824268E+04	
  +1.0400000000000000E+02	  +6.2972352916525169E+00	  +6.8474338795618070E+00	  +3.0341030573824268E+04	
  +1.0412500000000000E+02	  +6.2273035858135648E+00	  +6.9381670721336608E+00	  +3.0264734666824603E+04	
  +1.0425000000000000E+02	  +6.0980541423744441E+00	  +7.0996927345262248E+00	  +3.0111179290464119E+04	
  +1.0437500000000000E+02	  +5.9712157705895059E+00	  +7.2313358562288883E+00	  +2.9956339164288725E+04	
  +1.0450000000000000E+02	  +5.8354103053921769E+00	  +7.3705510401467889E+00	  +2.9800214288298444E+04	
  +1.0462500000000000E+02	  +5.7726294195128114E+00	  +7.4368065886030408E+00	  +2.9721670069122712E+04	
  +1.0475000000000000E+02	  +5.7706036098769875E+00	  +7.4541859020498924E+00	  +2.9721670069122712E+04	
  +1.0487500000000000E+02	  +5.7723740667994230E+00	  +7.4806527410825243E+00	  +2.9721670069122712E+04	
  +1.0500000000000000E+02	  +5.7728055633262567E+00	  +7.4995622283565089E+00	  +2.9721670069122712E+04	
  +1.0512500000000000E+02	  +5.8968247609770454E+00	  +7.4118738140863334E+00	  +2.9959885652476121E+04	
  +1.0525000000000000E+02	  +6.1394901786797114E+00	  +7.2173295977290763E+00	  +3.0438913204783254E+04	
  +1.0537500000000000E+02	  +6.3857999484038466E+00	  +7.1014403366624324E+00	  +3.0921402604557479E+04	
  +1.0550000000000000E+02	  +6.6307228514609964E+00	  +6.9490075547168315E+00	  +3.1407353851798813E+04	
  +1.0562500000000000E+02	  +6.7535933135098318E+00	  +6.9559474590217034E+00	  +3.1651627668219629E+04	
  +1.0575000000000000E+02	  +6.7571054478768433E+00	  +7.0041656211298413E+00	  +3.1651627668219629E+04	
  +1.0587500000000000E+02	  +6.7638744392163686E+00	  +7.0543051867806632E+00	  +3.1651627668219629E+04	
  +1.0600000000000000E+02	  +6.7641051127477301E+00	  +7.0875172859514954E+00	  +3.1651627668219629E+04	
  +1.0612500000000000E+02	  +7.2219761065910193E+00	  +6.6532540728539020E+00	  +3.2628070674444727E+04	
  +1.0625000000000000E+02	  +8.1312893183416861E+00	  +6.0272160263457044E+00	  +3.4585735326717113E+04	
  +1.0637500000000000E+02	  +9.0222091385994325E+00	  +5.4938527848880314E+00	  +3.6549771498752423E+04	
  +1.0650000000000000E+02	  +9.8746161091435045E+00	  +4.9962637316049285E+00	  +3.8520179190550720E+04	
  +1.0662500000000000E+02	  +1.0293556189154710E+01	  +4.9794735206667431E+00	  +3.9507772356360962E+04	
  +1.0675000000000000E+02	  +1.0298292936459630E+01	  +5.2232987270217786E+00	  +3.9507772356360962E+04	
  +1.0687500000000000E+02	  +1.0299368453791187E+01	  +5.2797023411864270E+00	  +3.9507772356360962E+04	
  +1.0700000000000000E+02	  +1.0311454110238552E+01	  +5.4151509819222134E+00	  +3.9507772356360962E+04	
  +1.0712500000000000E+02	  +1.0555569044587779E+01	  +5.2575937479415717E+00	  +4.0179568592764714E+04	
  +1.0725000000000000E+02	  +1.1022620402694802E+01	  +5.0537916769284434E+00	  +4.1517686958823833E+04	
  +1.0737500000000000E+02	  +1.1461920926811249E+01	  +4.9444091031675370E+00	  +4.2848506515885078E+04	
  +1.0750000000000000E+02	  +1.1853336606517528E+01	  +4.8904566546707748E+00	  +4.4172027263948519E+04	
  +1.0762500000000000E+02	  +1.2035567963985093E+01	  +5.0930690133794068E+00	  +4.4831050584606026E+04	
  +1.0775000000000000E+02	  +1.2039193111721135E+01	  +5.2920814438264845E+00	  +4.4831050584606026E+04	
  +1.0787500000000000E+02	  +1.2049241308534242E+01	  +5.4075842226233402E+00	  +4.4831050584606026E+04	
  +1.0800000000000000E+02	  +1.2057632736531389E+01	  +5.5662429412401151E+00	  +4.4831050584606026E+04	
  +1.0812500000000000E+02	  +1.2003084702159857E+01	  +5.7684998402924368E+00	  +4.4892473643706224E+04	
  +1.0825000000000000E+02	  +1.1892572050936984E+01	  +6.0362013568063455E+00	  +4.5014287739710315E+04	
  +1.0837500000000000E+02	  +1.1782029319737862E+01	  +6.3108153898580248E+00	  +4.5134725806119430E+04	
  +1.0850000000000000E+02	  +1.1657279591206276E+01	  +6.5801274658361786E+00	  +4.5253787842933540E+04	
  +1.0862500000000000E+02	  +1.1604189332588991E+01	  +6.7564950336604168E+00	  +4.5312802850242442E+04	
  +1.0875000000000000E+02	  +1.1607160218455787E+01	  +6.8830892832462043E+00	  +4.5312802850242442E+04	
  +1.0887500000000000E+02	  +1.1611675233269665E+01	  +6.9869095827983276E+00	  +4.5312802850242442E+04	
  +1.0900000000000000E+02	  +1.1614484984362367E+01	  +7.0950740519961757E+00	  +4.5312802850242442E+04	
  +1.0912500000000000E+02	  +1.1631108103207351E+01	  +7.1838139518068580E+00	  +4.5310945864963447E+04	
  +1.0925000000000000E+02	  +1.1659741724798515E+01	  +7.2548352831281910E+00	  +4.5307223305037252E+04	
  +1.0937500000000000E+02	  +1.1688370811402633E+01	  +7.3146317582299405E+00	  +4.5303489292620114E+04	
  +1.0950000000000000E+02	  +1.1716647336479433E+01	  +7.4024142986066730E+00	  +4.5299743827712053E+04	
  +1.0962500000000000E+02	  +1.1732692437220193E+01	  +7.4579665322138196E+00	  +4.5297866800573916E+04	
  +1.0975000000000000E+02	  +1.1734709888828197E+01	  +7.5617791516582598E+00	  +4.5297866800573916E+04	
  +1.0987500000000000E+02	  +1.1737782149962332E+01	  +7.6312859214382582E+00	  +4.5297866800573916E+04	
  +1.1000000000000000E+02	  +1.1739750824570322E+01	  +7.7263174594330186E+00	  +4.5297866800573916E+04	
  +1.1012500000000000E+02	  +1.1817831755238076E+01	  +7.7252503930931100E+00	  +4.5376390102439269E+04	
  +1.1025000000000000E+02	  +1.1942941642688732E+01	  +7.7108958348588361E+00	  +4.5528277349982294E+04	
  +1.1037500000000000E+02	  +1.2074214132229145E+01	  +7.6688151799038513E+00	  +4.5673285455941710E+04	
  +1.1050000000000000E+02	  +1.2206926288624640E+01	  +7.6394258766301615E+00	  +4.5811414420317538E+04	
  +1.1062500000000000E+02	  +1.2275335537247027E+01	  +7.6647799006551658E+00	  +4.5877899224411602E+04	
  +1.1075000000000000E+02	  +1.2278448375045530E+01	  +7.7334438455608003E+00	  +4.5877899224411602E+04	
  +1.1087500000000000E+02	  +1.2280941265868538E+01	  +7.8063912850424719E+00	  +4.5877899224411602E+04	
  +1.1100000000000000E+02	  +1.2282663283437603E+01	  +7.8794971936830649E+00	  +4.5877899224411602E+04	
  +1.1112500000000000E+02	  +1.2331188411526488E+01	  +7.8969069262327904E+00	  +4.5900154982053034E+04	
  +1.1125000000000000E+02	  +1.2436140855259454E+01	  +7.8686750698987558E+00	  +4.5939851098941828E+04	
  +1.1137500000000000E+02	  +1.2519445309470449E+01	  +7.8577537511646147E+00	  +4.5973126684638497E+04	
  +1.1150000000000000E+02	  +1.2614474299024348E+01	  +7.8232239757886557E+00	  +4.5999981739142982E+04	
  +1.1162500000000000E+02	  +1.2661846621330067E+01	  +7.8435268703261460E+00	  +4.6011001567198196E+04	
  +1.1175000000000000E+02	  +1.2683134991015949E+01	  +7.9164461966354835E+00	  +4.6011001567198196E+04	
  +1.1187500000000000E+02	  +1.2679669110179072E+01	  +7.9721840077588828E+00	  +4.6011001567198196E+04	
  +1.1200000000000000E+02	  +1.2680794196703156E+01	  +8.0205154136167955E+00	  +4.6011001567198196E+04	
  +1.1212500000000000E+02	  +1.2616741163800274E+01	  +8.1013929199837289E+00	  +4.5970612810539315E+04	
  +1.1225000000000000E+02	  +1.2525051442852781E+01	  +8.2588606757452396E+00	  +4.5888588307287515E+04	
  +1.1237500000000000E+02	  +1.2418835378129808E+01	  +8.3838217459660136E+00	  +4.5804901150790312E+04	
  +1.1250000000000000E+02	  +1.2316488489679523E+01	  +8.5210090064667288E+00	  +4.5719551341047729E+04	
  +1.1262500000000000E+02	  +1.2264087212013578E+01	  +8.6010131656928568E+00	  +4.5676252941209386E+04	
  +1.1275000000000000E+02	  +1.2265441742050646E+01	  +8.6398241823397797E+00	  +4.5676252941209386E+04	
  +1.1287500000000000E+02	  +1.2267201747989565E+01	  +8.6782655635954562E+00	  +4.5676252941209386E+04	
  +1.1300000000000000E+02	  +1.2267991965550223E+01	  +8.7137584463244053E+00	  +4.5676252941209386E+04	
  +1.1312500000000000E+02	  +1.2278392457920003E+01	  +8.7417461521927038E+00	  +4.5711584177275727E+04	
  +1.1325000000000000E+02	  +1.2301332879785859E+01	  +8.7714685136334225E+00	  +4.5781334896445143E+04	
  +1.1337500000000000E+02	  +1.2322251385746203E+01	  +8.8004388049587625E+00	  +4.5849869944996892E+04	
  +1.1350000000000000E+02	  +1.2341634268712106E+01	  +8.8259123930471990E+00	  +4.5917189322930979E+04	
  +1.1362500000000000E+02	  +1.2350549759295930E+01	  +8.8579150596719991E+00	  +4.5950393135416409E+04	
  +1.1375000000000000E+02	  +1.2350189831722206E+01	  +8.8864956812002411E+00	  +4.5950393135416409E+04	
  +1.1387500000000000E+02	  +1.2351375160705118E+01	  +8.9201077172792189E+00	  +4.5950393135416409E+04	
  +1.1400000000000000E+02	  +1.2351740006164572E+01	  +8.9486030082537944E+00	  +4.5950393135416409E+04	
  +1.1412500000000000E+02	  +1.2368364197795939E+01	  +8.9627774039897705E+00	  +4.5953407233095037E+04	
  +1.1425000000000000E+02	  +1.2405787864395164E+01	  +8.9612002018660935E+00	  +4.5957855306446967E+04	
  +1.1437500000000000E+02	  +1.2441048716609716E+01	  +8.9559278026941485E+00	  +4.5960196550458371E+04	
  +1.1450000000000000E+02	  +1.2475752836216092E+01	  +8.9488393980838570E+00	  +4.5960430965129286E+04	
  +1.1462500000000000E+02	  +1.2492527765492646E+01	  +8.9531251992187997E+00	  +4.5959758111462055E+04	
  +1.1475000000000000E+02	  +1.2493118586984759E+01	  +8.9784809600248856E+00	  +4.5959758111462055E+04	
  +1.1487500000000000E+02	  +1.2492399951180305E+01	  +8.9965498132520771E+00	  +4.5959758111462055E+04	
  +1.1500000000000000E+02	  +1.2495085281057875E+01	  +9.0276765658684397E+00	  +4.5959758111462055E+04	
  +1.1512500000000000E+02	  +1.2480979305095103E+01	  +9.0275345868434993E+00	  +4.5951980303065473E+04	
  +1.1525000000000000E+02	  +1.2468431231978082E+01	  +9.1209437379865737E+00	  +4.5936123964895945E+04	
  +1.1537500000000000E+02	  +1.2439028944753561E+01	  +9.1162863434274826E+00	  +4.5919866664891189E+04	
  +1.1550000000000000E+02	  +1.2422648932816097E+01	  +9.1926652008984089E+00	  +4.5903208403051191E+04	
  +1.1562500000000000E+02	  +1.2406832539048196E+01	  +9.1912180795024767E+00	  +4.5894728911443002E+04	
  +1.1575000000000000E+02	  +1.2411329569671745E+01	  +9.2341231905569519E+00	  +4.5894728911443002E+04	
  +1.1587500000000000E+02	  +1.2407280136800148E+01	  +9.2214685871327262E+00	  +4.5894728911443002E+04	
  +1.1600000000000000E+02	  +1.2413494303614257E+01	  +9.2729782319805558E+00	  +4.5894728911443002E+04	
  +1.1612500000000000E+02	  +1.2398283996984359E+01	  +9.2566788345811055E+00	  +4.5891978813591282E+04	
  +1.1625000000000000E+02	  +1.2395080747316543E+01	  +9.3333274063497651E+00	  +4.5886349906178322E+04	
  +1.1637500000000000E+02	  +1.2374299147026768E+01	  +9.3270012174634509E+00	  +4.5880549383152684E+04	
  +1.1650000000000000E+02	  +1.2365530605630488E+01	  +9.3819879312922811E+00	  +4.5874577244514381E+04	
  +1.1662500000000000E+02	  +1.2353605970312785E+01	  +9.3795926769715798E+00	  +4.5871526819340463E+04	
  +1.1675000000000000E+02	  +1.2356710470135663E+01	  +9.4072356003578612E+00	  +4.5871526819340463E+04	
  +1.1687500000000000E+02	  +1.2354925749476878E+01	  +9.4055292685178351E+00	  +4.5871526819340463E+04	
  +1.1700000000000000E+02	  +1.2354655709114834E+01	  +9.4001924072200804E+00	  +4.5871526819340463E+04	
  +1.1712500000000000E+02	  +1.2360019177087448E+01	  +9.4661183166182088E+00	  +4.5875458437710113E+04	
  +1.1725000000000000E+02	  +1.2347279856820087E+01	  +9.4493528172575108E+00	  +4.5883303560601373E+04	
  +1.1737500000000000E+02	  +1.2343796845875605E+01	  +9.4916784913918626E+00	  +4.5891124531695241E+04	
  +1.1750000000000000E+02	  +1.2334017365346400E+01	  +9.4905864114663778E+00	  +4.5898921350991746E+04	
  +1.1762500000000000E+02	  +1.2334566317249326E+01	  +9.5223381179632209E+00	  +4.5902810703715950E+04	
  +1.1775000000000000E+02	  +1.2331537555701487E+01	  +9.5203035629302946E+00	  +4.5902810703715950E+04	
  +1.1787500000000000E+02	  +1.2331126146800131E+01	  +9.5121786766728977E+00	  +4.5902810703715950E+04	
  +1.1800000000000000E+02	  +1.2331433764358943E+01	  +9.5155059420451931E+00	  +4.5902810703715950E+04	
  +1.1812500000000000E+02	  +1.2337163888234413E+01	  +9.5681597872226742E+00	  +4.5900949172123583E+04	
  +1.1825000000000000E+02	  +1.2329037322665187E+01	  +9.5507687279488955E+00	  +4.5897212752187435E+04	
  +1.1837500000000000E+02	  +1.2325782489519453E+01	  +9.5507687279488955E+00	  +4.5893458523249319E+04	
  +1.1850000000000000E+02	  +1.2323920241602751E+01	  +9.5596427189165034E+00	  +4.5889686485309299E+04	
  +1.1862500000000000E+02	  +1.2322321545479463E+01	  +9.5757351103835777E+00	  +4.5887793787963550E+04	
  +1.1875000000000000E+02	  +1.2328933293881734E+01	  +9.6292266262468935E+00	  +4.5887793787963550E+04	
  +1.1887500000000000E+02	  +1.2322031147693650E+01	  +9.6243085320981105E+00	  +4.5887793787963550E+04	
  +1.1900000000000000E+02	  +1.2321586680458696E+01	  +9.6155446280463561E+00	  +4.5887793787963550E+04	
  +1.1912500000000000E+02	  +1.2327596593719720E+01	  +9.6224467742344419E+00	  +4.5889398956866455E+04	
  +1.1925000000000000E+02	  +1.2337970323097306E+01	  +9.5995545565242857E+00	  +4.5892580815224799E+04	
  +1.1937500000000000E+02	  +1.2346988701625639E+01	  +9.5995545565242857E+00	  +4.5895724700986393E+04	
  +1.1950000000000000E+02	  +1.2357982625596804E+01	  +9.5900115884493005E+00	  +4.5898830614151280E+04	
  +1.1962500000000000E+02	  +1.2362736823810669E+01	  +9.5713456318382324E+00	  +4.5900369331010006E+04	
  +1.1975000000000000E+02	  +1.2372688677529215E+01	  +9.6296311051916952E+00	  +4.5900369331010006E+04	
  +1.1987500000000000E+02	  +1.2367333818467380E+01	  +9.6227743595698492E+00	  +4.5900369331010006E+04	
  +1.2000000000000000E+02	  +1.2366973388172411E+01	  +9.6156948242890365E+00	  +4.5900369331010006E+04	
  +1.2012500000000000E+02	  +1.2359685045182747E+01	  +9.6215130393072243E+00	  +4.5891532410279025E+04	
  +1.2025000000000000E+02	  +1.2343077329344576E+01	  +9.6299646867129258E+00	  +4.5873475408023442E+04	
  +1.2037500000000000E+02	  +1.2326640871566644E+01	  +9.6542193004382284E+00	  +4.5854907524709706E+04	
  +1.2050000000000000E+02	  +1.2312162057827782E+01	  +9.6803380827239760E+00	  +4.5835828760337827E+04	
  +1.2062500000000000E+02	  +1.2305312612095907E+01	  +9.6935199516876214E+00	  +4.5826097797755079E+04	
  +1.2075000000000000E+02	  +1.2304369795646521E+01	  +9.6935199516876214E+00	  +4.5826097797755079E+04	
  +1.2087500000000000E+02	  +1.2303659818216900E+01	  +9.7062242314677114E+00	  +4.5826097797755079E+04	
  +1.2100000000000000E+02	  +1.2304840813138854E+01	  +9.7168905981334142E+00	  +4.5826097797755079E+04	
  +1.2112500000000000E+02	  +1.2283799444764631E+01	  +9.7551644538111226E+00	  +4.5787639550237538E+04	
  +1.2125000000000000E+02	  +1.2238578423312843E+01	  +9.7945696162766218E+00	  +4.5709988642691387E+04	
  +1.2137500000000000E+02	  +1.2192032231225189E+01	  +9.8362351113243811E+00	  +4.5631358518463807E+04	
  +1.2150000000000000E+02	  +1.2147515511495831E+01	  +9.8989248297379291E+00	  +4.5551749177554804E+04	
  +1.2162500000000000E+02	  +1.2112164067484157E+01	  +9.8517008263681234E+00	  +4.5511577300844750E+04	
  +1.2175000000000000E+02	  +1.2109794492870154E+01	  +9.8517008263681234E+00	  +4.5511577300844750E+04	
  +1.2187500000000000E+02	  +1.2116114922752432E+01	  +9.8747441936335338E+00	  +4.5511577300844750E+04	
  +1.2200000000000000E+02	  +1.2118524904355521E+01	  +9.8747441936335338E+00	  +4.5511577300844750E+04	
  +1.2212500000000000E+02	  +1.2135558140875894E+01	  +9.8587740415879352E+00	  +4.5509658072901664E+04	
  +1.2225000000000000E+02	  +1.2166195047607408E+01	  +9.8195993180887697E+00	  +4.5505788944971195E+04	
  +1.2237500000000000E+02	  +1.2205019127980531E+01	  +9.8121237172416453E+00	  +4.5501878920981719E+04	
  +1.2250000000000000E+02	  +1.2234435208149051E+01	  +9.7742709837219017E+00	  +4.5497928000933192E+04	
  +1.2262500000000000E+02	  +1.2253927934493532E+01	  +9.7716613351105170E+00	  +4.5495937204886795E+04	
  +1.2275000000000000E+02	  +1.2252160561490333E+01	  +9.7453282407191608E+00	  +4.5495937204886795E+04	
  +1.2287500000000000E+02	  +1.2251463843362529E+01	  +9.7453282407191608E+00	  +4.5495937204886795E+04	
  +1.2300000000000000E+02	  +1.2252716583305784E+01	  +9.7483863335922756E+00	  +4.5495937204886795E+04	
  +1.2312500000000000E+02	  +1.2258547069985976E+01	  +9.7509037283539772E+00	  +4.5496999020704257E+04	
  +1.2325000000000000E+02	  +1.2266761895196366E+01	  +9.7456159251295880E+00	  +4.5499027394872719E+04	
  +1.2337500000000000E+02	  +1.2272870419690744E+01	  +9.7118595720946033E+00	  +4.5500928759085778E+04	
  +1.2350000000000000E+02	  +1.2279876750328890E+01	  +9.7118595720946033E+00	  +4.5502703113343421E+04	
  +1.2362500000000000E+02	  +1.2284197319729516E+01	  +9.6903637910428113E+00	  +4.5503542661739004E+04	
  +1.2375000000000000E+02	  +1.2286619832229199E+01	  +9.7027394837238745E+00	  +4.5503542661739004E+04	
  +1.2387500000000000E+02	  +1.2288728249543542E+01	  +9.7027394837238745E+00	  +4.5503542661739004E+04	
