 TIME                    	Wgross_MW                	Wnet_MW                  	Qboiler_MW               	Q_LHV_MW                 	eta_gross                	eta_net                  	eta_CHP                  	
  +9.4250000000000000E+01	  +1.5141307145876093E+01	  +1.3539977374434747E+01	  +4.4825646053157719E+01	  +5.4006802473683997E+01	  +2.8035925943318024E-01	  +2.5070873953392070E-01	  +7.9233677024633098E-01	
  +9.4375000000000000E+01	  +1.5057630657015871E+01	  +1.3465566118294300E+01	  +4.4617416881931597E+01	  +5.3755923954134452E+01	  +2.8011109379988186E-01	  +2.5049455255914438E-01	  +7.9240446872666570E-01	
  +9.4500000000000000E+01	  +1.4977323644305725E+01	  +1.3394149066113403E+01	  +4.4416897594838815E+01	  +5.3514334451613024E+01	  +2.7987498672618322E-01	  +2.5029086511809695E-01	  +7.9247301487590782E-01	
  +9.4625000000000000E+01	  +1.4900063418226258E+01	  +1.3325439951303091E+01	  +4.4223334607239856E+01	  +5.3281126032819103E+01	  +2.7964993474515532E-01	  +2.5009681557959451E-01	  +7.9247782858793103E-01	
  +9.4750000000000000E+01	  +1.4827631306556491E+01	  +1.3261031207108434E+01	  +4.4039073690359146E+01	  +5.3059124928143547E+01	  +2.7945487843301464E-01	  +2.4992932365672199E-01	  +7.9258849654151631E-01	
  +9.4875000000000000E+01	  +1.4755138869172512E+01	  +1.3196558862578939E+01	  +4.3855774840512261E+01	  +5.2838282940376210E+01	  +2.7925091520900691E-01	  +2.4975374157162156E-01	  +7.9264052929147755E-01	
  +9.5000000000000000E+01	  +1.4686904947496805E+01	  +1.3135871090709919E+01	  +4.3669605404818441E+01	  +5.2613982415443900E+01	  +2.7914452153665004E-01	  +2.4966502225564507E-01	  +7.9294464788997510E-01	
  +9.5125000000000000E+01	  +1.4620167585742189E+01	  +1.3076510915762082E+01	  +4.3501123224423601E+01	  +5.2410991836654937E+01	  +2.7895231655427688E-01	  +2.4949939807505603E-01	  +7.9299779553995653E-01	
  +9.5250000000000000E+01	  +1.4556211540383662E+01	  +1.3019619193498334E+01	  +4.3340621498127717E+01	  +5.2217616262804476E+01	  +2.7876055213099238E-01	  +2.4933384794840657E-01	  +7.9304100177767356E-01	
  +9.5375000000000000E+01	  +1.4494533959163352E+01	  +1.2964751566301661E+01	  +4.3185681381422043E+01	  +5.2030941423400044E+01	  +2.7857527776048807E-01	  +2.4917388022641046E-01	  +7.9307327328900556E-01	
  +9.5500000000000000E+01	  +1.4435257317158753E+01	  +1.2912005691830851E+01	  +4.3036618826754172E+01	  +5.1851347984041169E+01	  +2.7839695356814337E-01	  +2.4901967246454063E-01	  +7.9310424553247771E-01	
  +9.5625000000000000E+01	  +1.4378741893009158E+01	  +1.2861732755766026E+01	  +4.2891625439833476E+01	  +5.1676657156425868E+01	  +2.7824442764330770E-01	  +2.4888863683332699E-01	  +7.9310931353519443E-01	
  +9.5750000000000000E+01	  +1.4324511251137112E+01	  +1.2813486537685398E+01	  +4.2754540370861676E+01	  +5.1511494422724908E+01	  +2.7808378327338301E-01	  +2.4875004465086098E-01	  +7.9310657481298941E-01	
  +9.5875000000000000E+01	  +1.4271608819431600E+01	  +1.2766420988948788E+01	  +4.2620126984686387E+01	  +5.1349550583959498E+01	  +2.7793054967631492E-01	  +2.4861796926683805E-01	  +7.9313765578792483E-01	
  +9.6000000000000000E+01	  +1.4220504737219326E+01	  +1.2720953285459148E+01	  +4.2490441405542029E+01	  +5.1193302898243402E+01	  +2.7778056761614561E-01	  +2.4848862185634915E-01	  +7.9315872615468652E-01	
  +9.6125000000000000E+01	  +1.4169602796560257E+01	  +1.2675643844092662E+01	  +4.2365699287121807E+01	  +5.1043011189303378E+01	  +2.7760123210618209E-01	  +2.4833260320560754E-01	  +7.9319049085311610E-01	
  +9.6250000000000000E+01	  +1.4101559254696609E+01	  +1.2615077862226190E+01	  +4.2196196005550291E+01	  +5.0838790368132877E+01	  +2.7737794610345107E-01	  +2.4813882806569806E-01	  +7.9331524532952147E-01	
  +9.6375000000000000E+01	  +1.4022393081410490E+01	  +1.2544588114088482E+01	  +4.2017657571168897E+01	  +5.0623683820685415E+01	  +2.7699274377343475E-01	  +2.4780077559196947E-01	  +7.9301794329330566E-01	
  +9.6500000000000000E+01	  +1.3949208994535889E+01	  +1.2479420523576694E+01	  +4.1827722602421751E+01	  +5.0394846508941868E+01	  +2.7679832286146155E-01	  +2.4763287097942432E-01	  +7.9332701328458954E-01	
  +9.6625000000000000E+01	  +1.3873345667896476E+01	  +1.2411885821379220E+01	  +4.1651898476049595E+01	  +5.0183010212107945E+01	  +2.7645503147894412E-01	  +2.4733242922092652E-01	  +7.9306302659729377E-01	
  +9.6750000000000000E+01	  +1.3817268598737694E+01	  +1.2361942157194832E+01	  +4.1506869798759674E+01	  +5.0008276865975503E+01	  +2.7629963407394770E-01	  +2.4719792266239066E-01	  +7.9281875978113792E-01	
  +9.6875000000000000E+01	  +1.3776606198425981E+01	  +1.2325725875673971E+01	  +4.1412054803564999E+01	  +4.9894041932006019E+01	  +2.7611726099882411E-01	  +2.4703803096311722E-01	  +7.9296133599373808E-01	
  +9.7000000000000000E+01	  +1.3728822249077464E+01	  +1.2283226055540720E+01	  +4.1279764754276989E+01	  +4.9734656330454200E+01	  +2.7604136153788689E-01	  +2.4697518715976907E-01	  +7.9307285439446140E-01	
  +9.7125000000000000E+01	  +1.3684896949183599E+01	  +1.2244089259114403E+01	  +4.1179887376910266E+01	  +4.9614322140855741E+01	  +2.7582553502055290E-01	  +2.4678537830978051E-01	  +7.9301068121390650E-01	
  +9.7250000000000000E+01	  +1.3630581757047505E+01	  +1.2195713194354083E+01	  +4.1045883541805750E+01	  +4.9452871737115359E+01	  +2.7562770933720082E-01	  +2.4661284099303293E-01	  +7.9304458723225879E-01	
  +9.7375000000000000E+01	  +1.3575074377776588E+01	  +1.2146282513729238E+01	  +4.0908617228329064E+01	  +4.9287490636541037E+01	  +2.7542636483327521E-01	  +2.4643742979936087E-01	  +7.9310453415239002E-01	
  +9.7500000000000000E+01	  +1.3520561213815196E+01	  +1.2097735744164332E+01	  +4.0774413708574201E+01	  +4.9125799648884573E+01	  +2.7522322914741981E-01	  +2.4626033226186919E-01	  +7.9318738002980815E-01	
  +9.7625000000000000E+01	  +1.3463301098694183E+01	  +1.2046716552967379E+01	  +4.0639459332867467E+01	  +4.8963204015502967E+01	  +2.7496773075616882E-01	  +2.4603611620581628E-01	  +7.9322896310859059E-01	
  +9.7750000000000000E+01	  +1.3419110405987817E+01	  +1.2007369554415231E+01	  +4.0530082688225541E+01	  +4.8831424925572939E+01	  +2.7480480912528626E-01	  +2.4589431032816308E-01	  +7.9329719790691888E-01	
  +9.7875000000000000E+01	  +1.3382034222185546E+01	  +1.1974366992865926E+01	  +4.0435236155663510E+01	  +4.8717151994775307E+01	  +2.7468835254615681E-01	  +2.4579365793283897E-01	  +7.9330142097539036E-01	
